time (s)	input (Kbps)	output (Kbps)
0		1		2
1		2		3
2		1		2
3		1		4
4		1		3
5		1		4
6		1		1
7		2		4
8		1		3
9		4		19
10		17		131
11		20		149
12		21		145
13		21		276
14		45		188
15		20		145
16		19		100
17		25		151
18		25		153
19		19		173
20		20		150
21		17		136
22		20		120
23		25		156
24		29		160
25		53		155
26		49		157
27		51		262
28		19		29
29		38		104
30		44		150
31		91		330
32		49		156
33		50		158
34		37		156
35		45		119
36		48		156
37		39		159
38		45		147
39		44		148
40		47		157
41		38		160
42		43		290
43		29		20
44		46		123
45		39		157
46		50		156
47		90		322
48		44		117
49		45		150
50		44		148
51		30		144
52		45		152
53		45		235
54		30		21
55		16		15
56		25		3
57		24		2
58		14		4
59		25		3
60		28		15
61		24		1
62		14		6
63		24		2
64		26		6
65		24		5
66		17		9
67		25		2
68		39		6
69		26		5
70		25		2
71		25		3
72		13		2
73		45		121
74		49		151
75		50		160
76		37		156
77		49		156
78		50		157
79		38		158
80		49		157
81		50		155
82		30		146
83		23		130
84		26		157
85		28		172
86		25		312
87		53		155
88		27		159
89		25		156
90		25		157
91		27		154
92		19		102
93		24		140
94		26		156
95		20		376
96		23		135
97		28		166
98		16		127
99		25		152
100		26		157
101		25		156
102		26		156
103		22		174
104		19		136
105		49		317
106		16		129
107		20		149
108		18		146
109		22		150
110		25		153
111		27		160
112		26		153
113		26		159
114		25		155
115		22		220
116		20		124
117		12		71
118		20		122
119		26		157
120		26		154
121		29		170
122		26		153
123		52		313
124		28		164
125		20		216
126		9		53
127		0		2
128		2		5
129		1		1
130		2		6
131		1		4
132		6		9
133		0		2
134		2		4
135		1		3
136		2		5
137		1		4
138		1		5
139		1		2
140		1		4
141		1		2
142		1		4
143		1		2
144		2		8
145		3		4
146		1		2
147		1		5
148		1		2
149		2		4
150		1		3
151		1		4
152		1		2
153		2		3
154		1		3
155		1		4
156		1		2
157		1		3
158		1		2
159		2		6
160		1		3
161		1		5
